wordStem,wordClass,valence,arousal
aufhalten,V,-0.411764706,2.157894737
aufhören,V,-0.558823529,2.142857143
aufleben,V,1.8,2.888888889
aufnahme,N,0.676470588,2.714285714
aufnehmen,V,1.029411765,2.368421053
aufpreis,N,-1.4,2.705882353
aufsatz,N,0.1,2.388888889
aufseher,N,-0.9,2.578947368
aufstand,N,-1.2,3.944444444
aufstieg,N,1.8,3.294117647
auftrag,N,0.7,2.821428571
auftreten,V,0.029411765,2.714285714
aufwind,N,1.3,2.611111111
aufzucht,N,0.3,2.611111111
auge,N,1.117647059,2.055555556
august,N,1.5,2.210526316
ausbaden,V,-1.3,2.421052632
ausbau,N,0.617647059,1.631578947
ausbildung,N,1.147058824,3.380952381
ausblick,N,1,2.222222222
ausbruch,N,-0.7,3.476190476
ausdauer,N,1.6,2.235294118
ausfall,N,-1.2,3.055555556
ausflug,N,1.5,2.6875
ausgabe,N,-0.264705882,2.333333333
ausgeben,V,-0.323529412,2.5
auskunft,N,0.5,2.117647059
auslesen,V,0.264705882,2.157894737
ausmaß,N,-0.411764706,2.5625
ausnahme,N,0.205882353,2.944444444
ausreden,V,0.3,2.263157895
aussage,N,0,2.222222222
aussetzen,V,-0.676470588,2.052631579
aussicht,N,1.470588235,2.222222222
ausstieg,N,-0.5,2.882352941
auswahl,N,0.705882353,2.238095238
auswirkung,N,-0.411764706,2.578947368
auswurf,N,-0.9,2.368421053
autark,A,0.6,3
autonom,A,0.8,2.947368421
autorität,N,-0.970588235,3.631578947
aversion,N,-1.7,3.833333333
baby,N,1.9,2.833333333
bach,N,1,1.777777778
bad,N,1.2,2.333333333
bagger,N,0.36,2.45
bahre,N,-1.6,2.789473684
bakterie,N,-1.7,3.5
balance,N,0.9,3
balken,N,0.3,2.111111111
balkon,N,1.35,2.055555556
ball,N,1.5,3.18
ballast,N,-1.1,2.944444444
ballon,N,1.35,2.277777778
balsam,N,1.3,1.315789474
baltikum,N,0,2.055555556
banane,N,1.32,1.95
bandit,N,-0.95,2.578947368
bank,N,-0.235294118,2.277777778
bankrott,A,-2.3,2.789473684
banner,N,0,2.8125
bar,N,0.823529412,3.157894737
barbar,N,-1.05,3.75
bargeld,N,1.8,2.941176471
barriere,N,-1.3,3.333333333
barsch,N,-1.3,2.947368421
basis,N,0.35,1.722222222
bastard,N,-1.5,3.833333333
batterie,N,-0.14,1.91
bauen,V,0.911764706,2.333333333
bauer,N,0.15,1.833333333
baum,N,1.5,1.5
bazille,N,-1.7,3.5
beachten,V,0.7,2.894736842
beamte,N,-1.411764706,2.333333333
beantragen,V,-0.852941176,2.666666667
beben,V,-1.2,4
becher,N,0.55,1.714285714
bedarf,N,-0.264705882,2.352941176
bedauern,V,-1,2.526315789
bedenken,N,0.176470588,2.722222222
bedeuten,V,1.029411765,2.631578947
bedeutung,N,0.941176471,2.857142857
bedienen,V,-0.5,2.214285714
bedingung,N,-0.911764706,2.578947368
bedrohen,V,-2.029411765,4
bedürfen,V,-0.294117647,2.315789474
bedürfnis,N,0.382352941,3.476190476
beenden,V,-0.558823529,2.666666667
befallen,V,-1.4,3.333333333
befangen,A,-1.2,2.631578947
befehl,N,-2,3.75
befinden,N,0.323529412,2.277777778
befreien,V,1.941176471,3.222222222
befreier,N,1.3,2.833333333
befreiung,N,2.205882353,3.380952381
befugnis,N,0.7,2.761904762
befund,N,-0.15,2.9
befürchten,V,-1.411764706,3.095238095
begabung,N,2.2,2.625
begegnen,V,1.382352941,3.142857143
begegnung,N,1.558823529,2.785714286
begeistern,V,2.147058824,3.5
begierde,N,0.2,3.722222222
beginn,N,1.3,2.789473684
begleiten,V,1.235294118,2.761904762
begnadet,A,1.7,2.411764706
begraben,V,-2.1,3.555555556
begreifen,V,1.088235294,2.904761905
begründen,V,0.382352941,2.523809524
begrüßen,V,1.5,2.380952381
behandeln,V,0.382352941,2.421052632
behandlung,N,-0.441176471,2.833333333
behaupten,V,-0.323529412,2.380952381
behörde,N,-1.529411765,3.055555556
behutsam,A,1.2,1.684210526
beichte,N,-0.2,2.823529412
beifall,N,1.7,2.941176471
beihilfe,N,0.5,3.19047619
beil,N,-1.64,3.59
beileid,N,-2,3.1875
beispiel,N,0.303030303,1.944444444
beitragen,V,1.088235294,2.333333333
bejubeln,V,2.2,3
bekennen,V,0.382352941,2.761904762
bekommen,V,1.029411765,2.105263158
belastung,N,-1.647058824,3.592592593
beleg,N,-0.3,1.944444444
belegen,V,-0.058823529,2.285714286
beliebt,A,2.4,2.888888889
belohnen,V,1.9,2.5
beneiden,V,-1.2,3.263157895
bengel,N,-0.15,3.263157895
benötigen,V,-0.294117647,2.315789474
benzin,N,-0.8,2.857142857
bequem,A,1.7,1.944444444
beraten,V,0.823529412,2.421052632
beratung,N,0.8,2.421052632
berauben,V,-2.2,3.722222222
bereich,N,0.029411765,1.777777778
bereiten,V,0.558823529,1.947368421
bereuen,V,-0.6,2.789473684
bericht,N,-0.029411765,2.277777778
berichten,V,0.558823529,2.047619048
beruf,N,0.6,2.684210526
berühren,V,1.794117647,2.892857143
beseitigen,V,-0.882352941,2.526315789
besen,N,-0.25,2.05
besetzen,V,-0.617647059,2.666666667
besorgt,A,-1.3,3.157894737
bestätigen,V,0.970588235,2.210526316
besteck,N,0.59,2
bestehen,V,1,2.789473684
bestellen,V,0.647058824,1.894736842
bestie,N,-2.1,4.529411765
bestimmen,V,-0.470588235,2.473684211
bestimmung,N,0.147058824,3
bestreiten,V,-0.970588235,2.684210526
besuch,N,1,2.722222222
besuchen,V,1.441176471,2.761904762
besucher,N,1,2
beteiligen,V,0.588235294,2.421052632
betonen,V,0.588235294,2.333333333
betrachten,V,0.676470588,2.142857143
betrag,N,-0.15,2.35
betragen,V,-0.382352941,1.894736842
betreffen,V,-0.151515152,2.421052632
betrieb,N,-0.235294118,2.111111111
betrug,N,-2.05,3.8
bett,N,2,2.166666667
betteln,V,-1.5,3.111111111
beule,N,-1.4,3.2
beutel,N,0.6,1.421052632
bewahren,V,0.882352941,2.421052632
bewähren,V,0.470588235,2.333333333
bewegen,V,1.352941176,2.631578947
bewegung,N,1.617647059,3.294117647
beweis,N,0.6,2.368421053
beweisen,V,0.205882353,2.761904762
bewerber,N,0,2.647058824
bezahlen,V,-0.529411765,2.535714286
bezeichnen,V,0.323529412,2
beziehung,N,1.617647059,3.666666667
bibel,N,0.5,2.904761905
biber,N,1,1.894736842
biene,N,1.15,2.388888889
bier,N,0.7,2.894736842
biest,N,-1.6,4.1
bieten,V,0.176470588,2.157894737
bikini,N,1.73,3.36
bilanz,N,-0.705882353,2.433333333
bild,N,1.058823529,1.882352941
bilden,V,1.323529412,2.842105263
bildung,N,1.882352941,2.555555556
billigen,V,-0.4,2.222222222
binden,V,0.382352941,2.684210526
birke,N,1.2,1.421052632
birne,N,1,1.722222222
bischof,N,-0.823529412,2.052631579
bitte,N,0.65,2.857142857
bitten,V,0.382352941,2.619047619
bitter,A,-1.3,2.526315789
blamage,N,-1.8,3.888888889
blase,N,-0.7,2.210526316
blei,N,-0.617647059,1.894736842
bleiben,V,0.823529412,1.789473684
blick,N,1.264705882,2.277777778
blitz,N,0.5,3.904761905
blondine,N,0.6,2.631578947
blume,N,2.15,1.6875
bluse,N,0.68,2.41
blut,N,-0.882352941,3.666666667
blüte,N,2.32,1.91
blutig,A,-1.8,4.35
bluttat,N,-2.8,4.277777778
boden,N,0.05,1.555555556
bodenlos,A,-1.6,3.555555556
bogen,N,0.8,1.947368421
bohne,N,0.65,1.578947368
bohrer,N,-0.15,3.15
bombe,N,-2.5,4
bomber,N,-2.25,4.25
bonbon,N,1.7,2.125
boot,N,1.05,2.82
börse,N,-0.647058824,2.052631579
borste,N,-0.35,2.75
boshaft,A,-1.9,3.944444444
botschaft,N,0.735294118,3.285714286
brauchen,V,-0.235294118,2.789473684
brause,N,0.8,2.368421053
braut,N,1,2.833333333
brechen,V,-1.323529412,3.142857143
brennen,V,-1.529411765,3.464285714
brezel,N,1.64,2.23
brief,N,1.5,2.222222222
brigade,N,-1.264705882,2.666666667
brillant,A,2.2,3.166666667
brille,N,-0.65,2.210526316
britisch,A,0.6,2.052631579
bronze,N,0.7,2.666666667
brot,N,0.91,1.95
brücke,N,0.82,2.09
bruder,N,1.676470588,2.222222222
brunnen,N,0.55,1.86
brust,N,1.264705882,2.833333333
brutal,A,-2,4.526315789
buch,N,1.911764706,1.888888889
buche,N,1.15,1.368421053
buddha,N,0.82,2.27
bühne,N,1.441176471,2.833333333
bulle,N,-0.6,2.789473684
bullig,A,-0.9,3.789473684
bumerang,N,0.86,3.36
bündnis,N,0.294117647,2.444444444
bunker,N,-1.8,3.45
bunt,A,1.6,2.210526316
burg,N,1.23,3
büro,N,-0.617647059,2.178571429
bursche,N,-0.529411765,2.157894737
bürste,N,0.23,2.05
busen,N,1.85,3.25
butter,N,0.6,1.842105263
cello,N,0.95,2.09
chance,N,2.1,3.176470588
chaos,N,-0.05,4
charakter,N,1.264705882,3.421052632
charme,N,2.3,2.736842105
chef,N,0.2,3.055555556
christus,N,-0.117647059,2.611111111
dachs,N,0.45,2.5
dackel,N,0.27,2.77
dame,N,1,2.277777778
dampfer,N,0.64,2.55
dank,N,1.823529412,2.277777778
danken,V,1.911764706,1.842105263
darlehen,N,-0.7,2.80952381
darm,N,-1.14,2.91
darstellen,V,0.882352941,2.526315789
dasein,N,1.5,2.5
datum,N,0.3,2.1875
dauer,N,-0.85,2.619047619
dauern,V,-0.235294118,2.047619048
daumen,N,0.45,1.75
debatte,N,-0.911764706,3.142857143
decke,N,1.36,1.59
deckel,N,-0.09,1.86
defensiv,A,-0.6,2.473684211
defizit,N,-2,3.333333333
dekadent,A,-2,2.263157895
delikt,N,-1.6,3.411764706
delle,N,-0.9,2.333333333
demokrat,N,0.235294118,2.555555556
demokratie,N,0.617647059,3.263157895
demut,N,-0.9,3.047619048
denker,N,1.8,2.352941176
derb,A,-1.1,2.631578947
dessert,N,1.6,2.176470588
detail,N,0.2,2.3125
deutung,N,0.5,2.411764706
diagnose,N,-0.7,3.619047619
dialekt,N,0.4,2.6875
diamant,N,1.7,2.833333333
dichter,N,1.588235294,2.277777778
dieb,N,-1.8,3.5
diele,N,0.4,1.875
dienen,V,-1.088235294,2.476190476
diener,N,-0.5,2.277777778
dienst,N,-0.764705882,2.142857143
diffus,A,-1.2,2.473684211
diktatur,N,-2.5,4.294117647
dilemma,N,-1.8,3.705882353
ding,N,-0.029411765,1.555555556
diplom,N,1.8,3.470588235
diplomat,N,0.9,2.578947368
dirne,N,-1,2.523809524
diskussion,N,0.029411765,3.368421053
distel,N,-0.55,2.157894737
dogge,N,-0.95,2.571428571
doktor,N,0.8,3.428571429
dokument,N,0.6,2.1
dolch,N,-1.3,4.052631579
dominanz,N,-0.6,3.526315789
donner,N,-0.2,3.947368421
dose,N,-0.18,2
dosis,N,-0.7,3.238095238
dozent,N,0.1,2.578947368
drache,N,0.4,3.444444444
drama,N,0.1,3.888888889
drängen,V,-1.323529412,3.933333333
dreck,N,-1.5,3.526315789
drillen,V,-1.7,3.166666667
dringen,V,-0.823529412,2.789473684
droge,N,-1.25,3.947368421
drohen,V,-2.176470588,3.928571429
drohung,N,-2.1,4.176470588
druck,N,-1.588235294,3.611111111
drücken,V,-0.176470588,2.714285714
duell,N,-0.5,3.666666667
duft,N,1.7,2.388888889
duften,V,1.5,2.444444444
dummheit,N,-1.9,3
durst,N,-1.1,3.45
dusche,N,1.7,2.1875
echse,N,0.3,2.65
effekt,N,0.4,3.315789474
egoismus,N,-1.1,3.722222222
ehe,N,0.647058824,3.19047619
ehelos,A,-0.2,2.473684211
ehre,N,0.911764706,3.095238095
ehrgeiz,N,1.5,3.555555556
ehrlich,A,2.2,2.111111111
ehrung,N,1.15,2.9
eiche,N,1.45,1.722222222
eid,N,0.1,3.526315789
eidechse,N,0.32,2.82
eifel,N,0.6,2.380952381
eifer,N,0.8,3.052631579
eifrig,A,0.8,2.947368421
eigelb,N,0.8,2.333333333
eigenart,N,0.3,2.5
eigentum,N,1.2,2.444444444
eimer,N,0.1,1.647058824
eindruck,N,0.4,2.176470588
einengen,V,-2,3.5
einfall,N,1.5,3.058823529
einfalt,N,-1.2,2.555555556
eingehen,V,0.029411765,2.19047619
einheit,N,1.176470588,2.235294118
einigung,N,1.5,2
einklang,N,1.9,1.529411765
einladen,V,1.676470588,2.533333333
einladung,N,1.647058824,2.6
einnahme,N,0.4,2.444444444
einsam,A,-2.2,3.1
einsatz,N,1,2.764705882
einsetzen,V,0.411764706,2.736842105
einsicht,N,1.090909091,2.111111111
einstellen,V,0.352941176,2.238095238
einsturz,N,-1.7,4.058823529
eintracht,N,0.441176471,1.842105263
eintreten,V,0.147058824,2.142857143
eintritt,N,0.3,2.75
eis,N,1.8,2.789473684
eitel,A,-1.1,3.052631579
ekel,N,-2,4
ekstase,N,2,4.5
elch,N,1,2.91
elefant,N,1.32,2.95
elend,A,-2.1,4.1
embargo,N,-1.7,3.222222222
emotion,N,0.7,3.133333333
empfangen,V,1.147058824,2.761904762
empfehlen,V,1.088235294,2.285714286
empfinden,V,1.5,2.333333333
ende,N,-0.6,2.80952381
enden,V,-0.941176471,2.761904762
endziel,N,0.6,3.80952381
energie,N,2.1,3.470588235
engel,N,2.15,2.222222222
enkel,N,1.25,2.277777778
entdecken,V,1.735294118,3.2
ente,N,0.91,2.41
entfallen,V,-0.676470588,2.368421053
entfernen,V,-0.705882353,2.866666667
entfernung,N,-1.088235294,2.380952381
enthalten,V,-0.352941176,2.19047619
entlassen,V,-1.617647059,3.333333333
entsetzt,A,-1.8,3.555555556
entstehen,V,1.176470588,2.105263158
entwurf,N,0.6,2.052631579
entziehen,V,-1,1.947368421
entzug,N,-1.7,3.444444444
erbe,N,1.1,2.777777778
erbeten,V,0.058823529,2.157894737
erbin,N,0.8,3.285714286
erbitten,V,-0.2,2.722222222
erbse,N,0.6,1.619047619
erdbeben,N,-1.7,4.470588235
erdbeere,N,2.5,2.82
erde,N,1.9,2.444444444
erfahren,V,1.235294118,2.714285714
erfahrung,N,1.735294118,3.421052632
erfassen,V,0.411764706,2.380952381
erfinder,N,1.3,2.666666667
erfolg,N,2.1,3.315789474
erfolgen,V,0.235294118,2.523809524
erfordern,V,-0.970588235,2
erfüllen,V,1.411764706,2.947368421
erfüllung,N,2.058823529,2.285714286
ergänzen,V,0.764705882,2.2
ergeben,V,-0.529411765,2.45
ergebnis,N,0.735294118,2.789473684
ergreifen,V,0.147058824,2.428571429
erhalten,V,0.852941176,2.052631579
erheben,V,0.088235294,2.095238095
erholung,N,2.3,1.294117647
erinnern,V,1.352941176,3
erinnerung,N,1.411764706,2.947368421
erkennen,V,1.235294118,2.80952381
erkenntnis,N,1.764705882,3.428571429
erlauben,V,0.647058824,1.894736842
erleben,V,1.735294118,3.095238095
erlebnis,N,1.3,2.833333333
erledigen,V,0.088235294,3
erleiden,V,-1.941176471,3.733333333
ermitteln,V,-0.294117647,2.5
ernte,N,1.2,2
erotik,N,2.3,4.4375
erreger,N,-1.2,3.888888889
erreichen,V,1.558823529,2.523809524
errichten,V,0.676470588,2.157894737
errichtung,N,0.411764706,2
ersaufen,V,-2.4,3.421052632
ersetzen,V,-0.470588235,2.238095238
erteilen,V,-0.323529412,1.789473684
ertrag,N,1.5,2.315789474
erwarten,V,0.470588235,2.666666667
erwartung,N,0.705882353,3.428571429
erweitern,V,1.176470588,1.947368421
erwerb,N,1.05,2.684210526
erwerben,V,0.852941176,2.263157895
erzählen,V,1.352941176,2.842105263
erzeugen,V,0.941176471,2.571428571
erzeuger,N,0.8,3.052631579
erzeugnis,N,0.470588235,2.380952381
erzfeind,N,-2.5,3.666666667
erzielen,V,0.588235294,2.476190476
esel,N,1.05,2.73
essen,V,1.558823529,3.526315789
essig,N,-0.25,2.611111111
ethik,N,0.9,3.238095238
eule,N,0.64,2.09
euphorie,N,1.4,3.777777778
euter,N,-0.25,2.368421053
ewigkeit,N,1.5,2.222222222
existenz,N,1.6,3.222222222
fabel,N,1.45,2.052631579
fabrik,N,-0.7,2.285714286
fächer,N,0.68,2.14
faden,N,0.2,1.8
fähigkeit,N,1.617647059,3
fahndung,N,-1.1,3.333333333
fahne,N,-0.2,2
fahren,V,0.970588235,2.619047619
fahrer,N,0.55,2.473684211
fahrrad,N,1.55,3
fahrt,N,0.941176471,2.368421053
fall,N,-1.090909091,2.833333333
falle,N,-1.7,4
fallen,V,-1.058823529,2.578947368
fällen,V,-0.705882353,2.095238095
falte,N,-0.45,2
familie,N,1.8,2.277777778
fangen,V,-0.529411765,2.964285714
fantasie,N,2.4,2.888888889
farbe,N,1.6,2.210526316
fasan,N,1,2.05
fasching,N,0,2.777777778
faschismus,N,-2.735294118,4
fassade,N,-0.2,2.222222222
fassen,V,0.058823529,2.052631579
faust,N,-0.823529412,3.210526316
feder,N,1.3,1.666666667
fee,N,2.3,2.444444444
fehde,N,-1.45,3.222222222
fehlen,V,-1.529411765,2.866666667
fehler,N,-1.6,3.19047619
feier,N,2.1,3.4375
feiern,V,2.088235294,3.277777778
feiertag,N,1.9,1.941176471
feigling,N,-1.8,3.352941176
feile,N,0.2,2.421052632
feind,N,-2.147058824,4.15
fenster,N,1.14,1.91
ferien,N,2.6,2.294117647
fernrohr,N,0.77,2.41
fernsehen,N,0.205882353,2.3
ferse,N,0.2,2.125
fessel,N,-1.3,4.05
fest,N,1.852941176,2.888888889
festlegen,V,-0.441176471,2.368421053
festtag,N,2,2.75
festung,N,0.1,3.411764706
fett,N,-1.5,3.5
feucht,A,-0.4,3.45
feuer,N,0.05,3.722222222
feurig,A,0.9,4.157894737
fibel,N,0.4,1.947368421
fichte,N,0.85,1.761904762
fieber,N,-1.8,3.7
figur,N,0.35,2.526315789
film,N,1.5,2.611111111
filmstar,N,1,3.111111111
filter,N,0.1,2.176470588
finale,N,0.9,3.523809524
finden,V,1.352941176,2.526315789
finder,N,0.75,1.894736842
finger,N,0.7,2.105263158
firma,N,0.25,2.444444444
fisch,N,0.36,2.36
flagge,N,0.59,2.5
flamingo,N,1,2.68
flamme,N,0.6,3.315789474
flasche,N,0.45,1.95
flaute,N,-1.05,2.111111111
flegel,N,-0.9,2.368421053
fleisch,N,-0.441176471,3.055555556
flexibel,A,1.7,2.444444444
fliege,N,-0.95,2.157894737
fliegen,V,1.676470588,3.523809524
fließen,V,0.911764706,2.047619048
flirt,N,1.7,4.368421053
floß,N,0.68,3
flöte,N,0.5,2.27
fluch,N,-2.1,3.65
flucht,N,-1.529411765,3.888888889
flüchtling,N,-1.205882353,3.210526316
flughafen,N,0.848484848,3.476190476
flugzeug,N,0.5,3.333333333
flut,N,-0.8,3.619047619
fohlen,N,1.4,2.368421053
föhn,N,0.41,2.27
folge,N,-0.15,2.6
folter,N,-2.8,4.684210526
foltern,V,-2.8,4.444444444
fordern,V,-0.882352941,2.736842105
fördern,V,1.441176471,2.142857143
forderung,N,-0.852941176,2.952380952
förderung,N,1.147058824,2.523809524
form,N,0.352941176,2.222222222
forsch,A,-0.2,3.25
forscher,N,1.088235294,2.666666667
forschung,N,1.058823529,2.80952381
fortsetzen,V,0.852941176,2.333333333
fortuna,N,2.2,2.666666667
foto,N,0.9,3.263157895
fracht,N,0.3,2.6
frage,N,0.15,2.333333333
fragen,V,0.676470588,2.380952381
fraktion,N,-0.764705882,2.263157895
frau,N,1.4,2.5
fräulein,N,-0.352941176,3
fraulich,A,1.5,2.5
freier,N,-1.1,3.444444444
freiheit,N,2.8,4
freitod,N,-2,3.777777778
freizeit,N,2.4,2.882352941
freude,N,2.7,3.411764706
freudig,A,1.9,2.944444444
freudlos,A,-2.2,2.368421053
freuen,V,2.205882353,3.107142857
freund,N,2.558823529,2.052631579
frevel,N,-1.7,3.444444444
friede,N,2.4,1.4
frieden,N,2.529411765,1.611111111
friedhof,N,-1.6,3.166666667
frist,N,-1.2,3.19047619
frisur,N,0.75,2.714285714
froh,A,1.8,2.277777778
fromm,A,0.4,2.3
front,N,-1.647058824,3.5
frosch,N,-0.09,2.82
frühjahr,N,2.029411765,2.444444444
fuchs,N,-0.18,3.5
fühlen,V,2,3.473684211
führer,N,-2.176470588,3.888888889
führung,N,-0.470588235,2.444444444
füllen,V,0.529411765,2.107142857
füller,N,0.73,2.32
fund,N,1,2.666666667
funke,N,0.65,3.105263158
funktionär,N,-1.411764706,2.210526316
furcht,N,-2.2,4.421052632
fürchten,V,-1.647058824,3.857142857
fusion,N,0.8,2.571428571
futter,N,0.85,2.368421053
gabel,N,0.3,2.111111111
galgen,N,-2.2,4.117647059
galle,N,-1.6,2.823529412
ganove,N,-1.4,3.65
gans,N,0.19,2.86
garaus,N,-1.75,3.333333333
garten,N,1.8,1.611111111
gas,N,-1.470588235,3.380952381
gast,N,1.411764706,2.277777778
gatte,N,0.7,3.047619048
gauner,N,-1.35,3.6
gebein,N,-1.15,2.722222222
gebet,N,0.75,2.714285714
gebiet,N,0.1,2.315789474
gebot,N,0.2,2.777777778
geburt,N,1.9,4.176470588
geburtstag,N,1.911764706,3.142857143
gedanke,N,1.5,2.611111111
gedenken,V,0.588235294,2.736842105
gedicht,N,0.7,2.947368421
geduld,N,2,1.823529412
gefahr,N,-1.8,4.380952381
gefährden,V,-1.647058824,3.9
gefallen,V,1.529411765,2.392857143
gefängnis,N,-2.264705882,3.052631579
gefühl,N,2.205882353,3.111111111
gegend,N,0.3,1.944444444
